0:0:0:0:0:0:0:1 - - [19/Feb/2019:08:31:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:08:47:51 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 11593
0:0:0:0:0:0:0:1 - - [19/Feb/2019:08:47:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:08:47:54 +0530] "GET /ORSProject4/ctl/TimeTableCtl?id=1 HTTP/1.1" 200 8971
0:0:0:0:0:0:0:1 - - [19/Feb/2019:08:47:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:08:48:13 +0530] "POST /ORSProject4/ctl/TimeTableCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:08:48:18 +0530] "POST /ORSProject4/ctl/TimeTableCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:08:48:24 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 11593
0:0:0:0:0:0:0:1 - - [19/Feb/2019:08:48:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:08:48:45 +0530] "GET /ORSProject4/ctl/TimeTableCtl?id=4 HTTP/1.1" 200 9030
0:0:0:0:0:0:0:1 - - [19/Feb/2019:08:48:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:08:48:53 +0530] "POST /ORSProject4/ctl/TimeTableCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:08:48:53 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 11593
0:0:0:0:0:0:0:1 - - [19/Feb/2019:08:48:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:08:48:58 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 11593
0:0:0:0:0:0:0:1 - - [19/Feb/2019:08:48:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:08:56:56 +0530] "GET /ORSProject4/ctl/TimeTableCtl?id=4 HTTP/1.1" 200 9030
0:0:0:0:0:0:0:1 - - [19/Feb/2019:08:56:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:09:15 +0530] "GET /ORSProject4/ctl/TimeTableCtl?id=4 HTTP/1.1" 200 9030
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:09:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:09:22 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 11617
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:09:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:09:26 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 11617
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:09:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:09:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:10:23 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 11617
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:10:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:10:42 +0530] "GET /ORSProject4/ctl/TimeTableCtl HTTP/1.1" 200 8915
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:10:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:10:43 +0530] "GET /ORSProject4/ctl/SubjectListCtl HTTP/1.1" 200 11050
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:10:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:10:45 +0530] "GET /ORSProject4/ctl/SubjectCtl HTTP/1.1" 200 7482
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:10:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:10:47 +0530] "GET /ORSProject4/ctl/FacultyListCtl HTTP/1.1" 200 12046
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:10:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:12:29 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 11617
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:12:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:15:22 +0530] "GET /ORSProject4/ctl/FacultyListCtl HTTP/1.1" 200 12046
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:15:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:18:04 +0530] "GET /ORSProject4/ctl/FacultyListCtl HTTP/1.1" 200 12046
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:18:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:18:06 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 11617
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:18:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:18:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
